,input,output
4797,밤에는 노래를 부르지 마니?,밤에는 노래를 부르지 않니?
4798,내가 질투를 감정을 느꼈다.,내가 질투의 감정을 느꼈다.
4799,그 위원회가 드디어 회의를 하기를 열었다.,그 위원회가 드디어 회의를 개회했다.
4800,내가 점심을 먹더라.,그가 점심을 먹더라.
4801,내가 너더라면 이렇게 바보 같은 짓은 안 했다.,내가 너였더라면 이렇게 바보 같은 짓은 안 했다.
4802,너는 저 산이 보이더라.,나는 저 산이 보이더라.
4803,그가 내일 오는고?,그가 내일 오는가? 
4804,철수가 그 학생들 세 명들을 모두 만나 보았어.,철수가 그 학생 세 명들을 모두 만나 보았어.
4805,"김철수, 같이 가시지요.","김철수, 같이 가자."
4806,나는 시간에 쫓기고 있어요.,나는 시간에 쫓기고 있어요.
4807,이것은 중학생이 푼 정도로 쉬운 문제다.,이것은 중학생이 풀 정도로 쉬운 문제다.
4808,영희는 철수가 학교에 갔음직했다.,영희는 철수가 학교에 갔거니 했다.
4809,영미가 철수에게 키워졌다.,영미가 철수에 의해 키워졌다.
4810,옛날에 흥부는 살았습니다. 흥부가 마음씨가 착했어요.,옛날에 흥부가 살았습니다. 흥부는 마음씨가 착했어요.
4811,영이에게 약을 먹도록 하세요.,영이에게 약을 먹게 하세요.
4812,미나는 드디어 그 사실을 알고 있다.,미나는 이제 그 사실을 알고 있다.
4813,내가 시험을 보더니 1등을 했어.,철수가 시험을 보더니 1등을 했어.
4814,요새 바쁘구나?,요새 바쁘구나?
4815,이 친구들이 팔이 아주들 탄탄해요.,이 친구들이 팔이 아주들 탄탄해요.
4816,얼굴이 검게 탔지만 얼굴이 검지 않았다.,얼굴이 검게 탔다.
4817,나는 그곳이 학교일까에 생각했다.,나는 그곳이 학교일까에 생각했다.
4818,"사실, 단독보다 아파트 살기 편하죠.","사실, 단독보다 아파트가 살기 편하죠."
4819,철수가 어제보다 걸었다.,철수가 어제보다 많이 걸었다.
4820,의사가 경찰관에게 환자를 보호자와 격리시켰다.,의사가 환자를 보호자와 격리시켰다.
4821,영이는 아까 살아 있었다.,영이는 아까 살아 있었다.
4822,나는 말을 언니에게 놓는다.,나는 언니에게 말을 놓는다.
4823,"감독관이 아빠는 합격하셨고, 엄마는 불합격하셨다고 하더라.","감독관이 아빠는 합격하셨고, 엄마는 불합격하셨다고 하더라."
4824,그는 실수로 그 말을 전하지가 않았다.,그는 실수로 그 말을 전하지가 않았다.
4825,나는 어제 서점에 있는 컴퓨터 관련 책을 모두 10권만큼을 샀어.,나는 어제 서점에 있는 컴퓨터 관련 책을 10권만큼을 샀어.
4826,나는 그를 집에 가는 부탁을 했다.,나는 그를 집에 가라는 명령을 했다.
4827,철수는 명찰을 달고 거꾸로 있다.,철수는 명찰을 거꾸로 달고 있다.
4828,"아니요, 저는 안 할게요.","아니요, 저는 안 하겠습니다."
4829,강도가 경찰에게 팔을 묶이지가 않았다.,강도가 경찰에게 팔을 묶이지를 않았다.
4830,모닥불이 계속 꺼지고 있다.,모닥불이 꺼지고 있다.
4831,그는 실수로 약속 장소에 나가지가 않았다.,그는 실수로 약속 장소에 나가지를 않았다.
4832,엉망인 피부 보면 속상해 그냥 죽는다.,엉망인 피부 보면 그냥 ((속상해 죽는다)).
4833,"얘야, 문을 열고 안으로 들어가렴.","얘야, 문을 열고 안으로 들어가렴."
4834,철수가 외로워.,철수가 외로운 것이 틀림없어.
4835,철수는 집에 갔고자 한다.,철수는 집에 가고자 한다.
4836,"김 사장님, 내일 좀 오게.","김 사장님, 내일 좀 오게."
4837,기영이는 진호를 차라리 프랑스로 떠나기를 바랐다.,기영이는 진호가 차라리 프랑스로 떠나기를 바랐다.
4838,그가 사람인 다음에 그런 짓을 하겠습니까?,그가 사람인 다음에야 그런 짓을 하겠습니까?
4839,값이 얼마를 하든지 내가 사 주마.,값이 얼마를 하든지 내가 사 주마.
4840,순이가 엊저녁에 잠을 많이 자서 지금 또 존다.,순이가 엊저녁에 잠을 많이 자더니 지금 또 존다.
4841,철수가 단호하게 이 책을 읽어를 영희가 보았다고 말했다.,철수가 단호하게 이 책을 읽어를 영희가 보았다고 말했다.
4842,철수가 시험에서 미역국을 먹혔다.,철수가 시험에서 미역국을 먹었다.
4843,나는 학교에 갔더라.,그는 학교에 갔더라.
4844,"그 회사의 미래를 여기고, 투자를 했다.","그 회사의 미래를 판단하고, 투자를 했다."
4845,철수는 학교에 가고서 영희는 교회에 갔다.,철수가 학교에 가고서 영희는 교회에 갔다.
4846,우리는 약속이 언제를 잊었다.,우리는 약속이 언제인가를 잊었다.
4847,풍경화에서는 가깝고 멀게 있는 원근감을 살려야 해요.,풍경화에서는 가깝고 멀리 있는 원근감을 살려야 해요.
4848,순이가 가장 달린다.,순이가 가장 빨리 달린다.
4849,그들은 무엇을 말했으려고 이곳에 온 것일까?,그들은 무엇을 말하려고 이곳에 온 것일까?
4850,자신은 뭐 그리 잘났니?,자기는 뭐 그리 잘났니?
4851,세월이 기다랗다.,세월이 길다.
4852,대학 다니었느라고 따로 기술을 배울 틈이 없었다.,대학 다니느라고 기술을 배울 틈이 없었다.
4853,나는 의도적으로 철수가 밉다.,나는 의도적으로 철수를 미워했다.
4854,그를 만나지 않고는 해결할 수 없을까?,그를 만나지 않고는 해결할 수 없을까?
4855,그는 크게 부자이다.,그는 큰 부자이다.
4856,그가 5시까지 거기에 없기는 한다.,그가 5시까지 거기에 있기는 한다.
4857,한 아이가 맛있게들 식사했다.,아이들이 맛있게들 식사했다.
4858,철수는 영희가 잡혔다.,철수에게는 영희가 잡혔다.
4859,"철수 얼굴이 어두워서, 뭔가 고민이 있는 게 분명해.","철수 얼굴이 어두우니까, 뭔가 고민이 있는 게 분명해."
4860,소나타마다 고유번호가 붙어 있습니다.,소나타는 차마다 고유번호가 붙어 있습니다.
4861,철수도 싹 고치니 잘생기기 시작한다.,철수도 싹 고치니 잘생겨졌다.
4862,그것은 길이 2m만 더 길다.,그것은 길이 2m만큼 더 길다.
4863,너는 그 자리에 앉아 있기가 민망스러웠다.,나는 그 자리에 앉아 있기가 민망스러웠다.
4864,철수가 집에 왔는 것이 기쁘다.,철수가 집에 온 것이 기쁘다.
4865,그는 바다 향했다.,그는 바다를 향했다.
4866,철수가 약을 먹게 한다.,철수가 약을 먹게 한다.
4867,철수가 세 시를 밥을 먹었다.,철수가 세 시에 밥을 먹었다.
4868,학교에서 둘에서 공동 우승을 차지했다.,학교에서 둘에서 공동 우승을 차지했다.
4869,"내가 학교에 갔더니, 그때 그곳에는 아무도 없었니?","네가 학교에 갔더니, 그때 그곳에는 아무도 없었니?"
4870,아 클럽이라 해서 뭐~ 대단한 거 아니니?,아 클럽이라 해서 뭐~ 대단한 거 아니고.
4871,철수가 종이 잘게 찢었어.,철수가 종이를 잘게 찢었어.
4872,철수의 옷이 못에 걸어졌다.,철수의 옷이 못에 걸렸다.
4873,할아버지는 자전거를 사 주마고 약속하셨다.,할아버지는 자전거를 사 주마라고 약속하셨다.
4874,"철수가 오고, 자기가 이 일을 할 것이다.","철수가 오면, 철수가 이 일을 할 것이다."
4875,"영희가 곁에 없으면, 내가 외로웠더라.","영희가 곁에 없으면, 내가 외롭겠더라."
4876,영희가 기차를 탔고서 서울에 갔다.,영희가 기차를 타고서 서울에 갔다.
4877,덥던 물에 손을 씻었다.,더운 물에 손을 씻었다.
4878,쥐가 저 구멍에 죽었다.,쥐가 저 구멍에서 죽었다.
4879,무슨 일이든 처음 두 번이 중요해.,무슨 일이든 처음 한 번이 중요해
4880,그렇게 많이 먹고서는 더 먹을 수도 있을 거야.,그렇게 많이 먹고서는 더 먹지 못할 거야.
4881,겨울이 되기가 무섭게 그 남자가 돌아왔다.,겨울이 되자마자 그 남자가 돌아왔다.
4882,영희가 철수를 여겼다.,영희가 철수를 하찮게 여겼다.
4883,"어느 나란가 EU에 가담할 거라는데, 그게 어느 나라가인지 아니?","어느 나란가 EU에 가담할 거라는데, 그게 어느 나라가 인지 아니?"
4884,선생님이 안 꽃병을 깨뜨렸다.,선생님이 꽃병을 안 깨뜨렸다.
4885,"나는 형님에게 형님, 고향으로 돌아가자는 제안을 했다.","형님, 이제부터 형님이 어떻게 하시느냐가 문제입니다."
4886,김 씨가 뇌물을 받았다는 그것이 백일하에 드러났다.,김 씨가 뇌물을 받았다는 것이 백일하에 드러났다.
4887,정권이 바뀌었다고 이제 와서 뒷짐을 지거나 태도를 바꿔서는 안 된다.,정권이 바뀌었다고 이제 와서 뒷짐을 지거나 태도를 바꿔서는 안 된다.
4888,김 선생이 왔더니 박 선생이 왔다.,김 선생이 오더니 박 선생이 왔다.
4889,우리가 이 자료를 우리의 계획을 세운 것은 바탕으로이다.,우리가 우리의 계획을 세운 것은 이 자료를 바탕으로이다.
4890,마음이 착한 그로서 그에게는 너그러운 호의를 보이지 않았다.,마음이 착한 그로서도 그에게는 너그러운 호의를 보이지 않았다.
4891,선생님께서 영이를 만나셨기는 만나시다.,선생님께서 영이를 만나시기는 만나셨다.
4892,"너는 한 잔만 마셔도 어지러워 술을 못 먹겠더니, 지금은 주량이 꽤 늘어 한 병은 마신다.","나는 한 잔만 마셔도 어지러워 술을 못 먹겠더니, 지금은 주량이 꽤 늘어 한 병은 마신다."
4893,"그때 우리가 너무나 자랑스러워했던, 오천 명의 군사로 70만 대군을 격파한 것을 기억하느냐?","그때 우리가 너무나 자랑스러워했던, 오천 명의 군사로 70만 대군을 격파한 일을 기억하느냐?"
4894,도대체 실수한 게 두 번이 아니야.,도대체 실수한 게 한두 번이 아니야.
4895,부모님께 결혼반지가 있으시다.,부모님은 결혼반지가 있으시다.
4896,철수가 밥을 먹었고서 영희가 학교에 갔다.,철수가 밥을 먹었고 영희가 학교에 갔다.
4897,철수가 뛰기 시작했다. 그러나 이미 뛰고 있었다.,철수가 뛰기 시작한 것이 아니다. 그는 이미 뛰고 있었다.
4898,잘생기는 사람이 많다.,잘생긴 사람이 많다.
4899,나 점심에 사과 먹더라.,나 점심에 사과 먹더라.
4900,"야, 할아버지는 네 설명이 이해가 간다니?","야, 할아버지는 네 설명이 이해가 가신다니?"
4901,그 사람이 호랑이가 무섭다.,그 사람이 호랑이를 무서워한다.
4902,라면도 그래.,라면도 그래.
4903,그는 가게로 심부름을 동생을 보냈다.,그는 가게로 동생을 심부름을 보냈다.
4904,어머님이 다리가 길어요.,어머님이 다리가 길어요.
4905,"지난주에 누군가가 내 볼펜을 빌려갔는데, 그게 누가인지 생각이 안 나.","지난주에 누군가가 내 볼펜을 빌려갔는데, 누가 빌려갔는지 생각이 안 나."
4906,그 사람은 오후 5시까지 사무실에 없다.,그 사람은 오후 5시까지 사무실에 없다.
4907,"철수야, 물이 차가워요.","선생님, 물이 차가워요."
4908,나는 영화를 만들고 싶어 한다.,당신은 영화를 만들고 싶어 한다.
4909,친구가 파리로 유학했다.,친구가 파리로 유학을 갔다.
4910,나는 그렇게 믿고 있는 것 같다.,돌이는 그렇게 믿고 있는 것 같다.
4911,이게 싫은 한 다른 것으로 바꿔라.,이게 싫은 한 다른 것으로 바꿔라.
4912,우리 학교에서 서울에 있다.,우리 학교가 서울에 있다.
4913,계란에 바위를 칠 격이다.,계란에 바위를 친 격이다.
4914,철수는 순희를 보러 건넛마을에 아주 간다고 한다.,철수는 순희를 보러 건넛마을에 그렇게 간다고 한다.
4915,민자 영호를 만났어.,민자가 영호를 만났어
4916,나는 훈민정음들을 여러 권 가지고 있습니다.,나는 훈민정음의 이본들을 여러 권 가지고 있습니다.
4917,너도 나랑 같이 갈게?,너도 나랑 같이 갈래?
4918,"철수, 같이 가시지요.","철수, 같이 가."
4919,너는 밀가루 음식에 질린다.,나는 밀가루 음식에 질린다.
4920,고무줄이 철수에게 끊겼다.,고무줄이 철수에 의해 끊겼다.
4921,인호와 진호가 창수이다.,인호도 진호도 모두 창수다.
4922,그 여자는 결혼을 일찍 했을 수 있을 것이다.,그 여자는 결혼을 일찍 했을 수 있었다.
4923,10개월 미국에서 산 사람 치고 영어를 한다.,10개월 미국에서 산 사람 치고 영어를 한다.
4924,사람들은 늦게 와서는 회의가 제시간에 끝날 수 없을 것이다.,사람들이 늦게 와서는 회의가 제시간에 끝날 수 없을 것이다.
4925,나는 영희가 아무리 화를 내어도 상관없는 모양이었다.,그는 영희가 아무리 화를 내어도 상관없는 모양이었다.
4926,그가 맥주가 차가워지게 만들었다.,그가 맥주가 차가워지게 만들었다.
4927,"그 친구, 여간내기다.","그 친구, 여간내기가 아니다."
4928,방이 조명으로 환하지 않다.,방이 조명으로 환하다.
4929,이번 시험에서 영이가 합격하더니 순이는 떨어졌더라.,이번 시험에서 영이가 합격하고 순이는 떨어졌어.
4930,안내문 글씨가 나에 의해 잘 보인다.,안내문 글씨가 나에 의해 잘 보인다.
4931,영희가 매우 예쁨.,영희가 매우 예쁨.
4932,벨은 전화기를 발명했다.,벨은 전화기를 발명했다.
4933,철수가 주말에 등산을 가지가 않는다.,철수가 주말에 등산을 가지가 않는다.
4934,"선생님이 누군가에게 뭔가를 주신 것 같은데, 누구에게 뭔지 아니?","선생님이 누군가에게 뭔가를 주신 것 같은데, 그게 누군지 그리고 그게 뭔지 아니?"
4935,아이가 게임에서 빠졌다.,아이가 게임에 빠졌다.
4936,"그 화분이 어제가 아니라 내일 죽으면, 내가 매우 곤란했을 거야.","그 화분이 어제가 아니라 내일 죽으면, 내가 매우 곤란할 거였어."
4937,영미가 철수에게 세 번이 잡혔다.,영미가 철수에게 세 번을 잡혔다.
4938,"나는 아쉽게도, 이 세기적 대결은 무산되고 말았다.",이 세기적 대결은 아쉽게도 무산되고 말았다.
4939,신유는 불을 꺼 놓았다.,신유는 불을 꺼 놓았다.
4940,오랜만에 만난 옛 친구 이름을 잊어버리니까 미안했어요.,오랜만에 만난 옛 친구 이름을 잊어버려서 미안했어요.
4941,새벽 다섯 시면 과외했으러 갔었어요.,새벽 다섯 시면 과외하러 갔었어요.
4942,철수 한 명이서 이 모든 일을 할 수 없다.,철수 혼자서 이 모든 일을 할 수 없다.
4943,영희가 어머니를 훌륭하시게 생각한다.,영희는 어머니를 훌륭하시다고 늘 생각한다.
4944,철수가 학교를 밥을 먹었다.,철수가 학교에서 밥을 먹었다.
4945,빨리 손 씻고 식탁에 앉아라. 오늘은 내가 너의 엄마라서.,빨리 손 씻고 식탁에 앉아라. 오늘은 내가 너의 엄마라서.
4946,할아버지께서는 그 사업과 관계가 안 계신 것 같다.,할아버지께서는 그 사업과 관계가 없으신 것 같다.
4947,"그는 어제 공원에서 사과를 먹었고, 나는 오늘 정원에서 오렌지를 그리했다.","그는 어제 공원에서 사과를 먹었고, 나는 오늘 정원에서 그리했다."
4948,어차피 수업 시간은 다 똑같을 건 아니에요.,어차피 수업 시간은 다 똑같을 거 아니에요.
4949,배가 고프니까 과자를 먹었니?,배가 고프니까 과자를 먹자.
4950,다행히 그가 많이 다쳤다.,다행히 그가 무사히 돌아왔다.
4951,집에 오자 손발을 깨끗이 씻어라.,집에 오자 손발을 깨끗이 씻어라.
4952,철수가 달린다. 이때 영희는 역에 도착했다.,철수가 달렸다. 그때 영희는 역에 도착했다.
4953,"영희에게 철수 화내니까, 어머니가 싫어하셨어.","영희에게 철수가 화내니까, 어머니가 싫어하셨어."
4954,그 일은 많은 시간을 잡아서 먹었다.,그 일은 많은 시간을 잡아먹었다.
4955,철수가 영희를 돈을 많다고 생각한다.,철수가 영희를 돈이 많다고 생각한다.
4956,"철수가 영희, 애인으로 생각해.",철수가 영희를 애인으로 생각해.
4957,철수가 빨리가 왔다.,철수가 빨리를 왔다.
4958,나도 슬프다 한다.,나도 슬프단다.
4959,포기하더라도 두 번 해 보기나 하자.,포기하더라도 한 번 해 보기나 하자.
4960,철수가 달리고 있었다. 이때에 영희가 새총으로 철수를 쏘았다.,철수가 달리고 있었다. 그때 영희가 새총으로 철수를 쏘았다.
4961,우리 축구팀이 부산으로 비룡 축구팀과 시합을 갔다.,우리 축구팀이 부산으로 시합을 갔다.
4962,파도가 바위를 때려 갔다.,파도가 바위를 때려 갔다.
4963,울었기는 울어.,울었기는 울어.
4964,영희는 편지 한 통을 10분 동안 썼다.,영희는 편지 한 통을 10분 만에 썼다.
4965,물속에 손을 넣어 보았으니까 너무나 차가웠다.,물속에 손을 넣어 보니까 너무나 차가웠다.
4966,길이 진 걸 봐서 비가 왔나 보다.,길이 진 걸 보니까 비가 왔나 보다.
4967,요즘 여자들이 이 옷이 잘 입는다.,이 옷이 요즘 여자들이 잘 입는다.
4968,이 대회에 상금이 걸려 있기는 확인되지 않고 있다.,이 대회에 상금이 걸려 있음은 확인되지 않고 있다.
4969,"네, 제가 그냥 책도 읽고 강의도 하고 지내고 있어요.","네, 저는 그냥 책도 읽고 강의도 하고 지내고 있어요."
4970,오전 10시 5분에서 10분 동안에 로켓이 발사되었다.,오전 10시 5분에서 10분 사이에 로켓이 발사되었다.
4971,의자가 철수에게 밀어졌다.,의자가 철수에 의해 밀어졌다.
4972,밥을 먹었으면 안 한다.,밥을 먹지 않았으면 한다.
4973,어제 오후 두 시에 철수가 가지만 영희가 왔다.,어제 오후 두 시에 철수가 가고 영희가 왔다.
4974,그와 동료들은 6개월 만에 감방에 갇혔다.,그와 동료들은 6개월 동안 감방에 갇혔다.
4975,난 자꾸 할머니가 생각나셔.,난 자꾸 할머니가 생각나.
4976,보다 나은 장래를 위하여 새롭게 걷도록 합시다.,보다 나은 장래를 위하여 새로운 걸음을 내딛도록 합시다.
4977,그는 시인이면 그녀는 교수이다.,그가 시인이면 그녀가 교수이다.
4978,철수는 남았기를 원했다.,철수는 순희가 남았기를 원했다.
4979,담당 의사는 내가 전부터 잘 안 김 박사이다.,담당 의사는 내가 전부터 잘 알던 김 박사이다.
4980,면을 먹으니까 소화가 잘 안 돼요.,면을 먹으니까 소화가 잘 안 돼요.
4981,"아테나상을 만들 때, 6명의 여인에게 가장 아름다운 부위를 따 왔다고 한다.","아테나상을 만들 때, 6명의 여인에게서 가장 아름다운 부위를 따 왔다고 한다."
4982,주말에 하는 일이 없어서 죽을 지경이었다.,주말에 할 일이 없어서 죽을 지경이었다.
4983,"영희를 지난주 언젠가 만났었는데, 그게 무슨 요일엔지 기억이 안 나.","영희를 지난주 언젠가 만났었는데, 무슨 요일에 만났었는지 기억이 안 나."
4984,남자는 어떤 어려움 뒤에서도 당당해야 한다.,남자는 어떤 어려움 앞에서도 당당해야 한다.
4985,지금 귀로는 소리를 듣는다.,지금 귀로는 소리를 듣는다.
4986,철수는 며느리로 영희를 삼았다.,철수는 며느리로 영희를 삼았다.
4987,너의 장래를 여기고 결정하마.,너의 장래를 판단하고 결정하마.
4988,창수는 모자를 못 쓰려 해요.,창수는 모자를 안 쓰려 해요
4989,"내가 책을 찾더니, 아직 못 찾은 모양이구나.","그가 책을 찾더니, 아직 못 찾은 모양이구나."
4990,철수가 만난 것이 영희이다.,철수가 만난 것은 영희이다.
4991,나는 LA를 미국에서 한국 사람을 제일 많이 산다고 생각한다.,나는 LA를 미국에서 한국 사람이 제일 많이 산다고 생각한다.
4992,쥐가 고양이에게 먹혀 치웠다.,고양이가 쥐를 먹어 치웠다.
4993,밥을 안 먹어야 한다.,밥을 안 먹어야 한다.
4994,계집이라고 천생 말상을 해 가지고 소박 안 맞으면 거짓말이지.,계집이라고 천생 말상을 해 가지고 소박 안 맞으면 거짓말이지.
4995,인호가 부산에 머물렀다,인호가 부산에 머물렀다
4996,철수가 학교에 갔고서 영희가 집에 왔다.,철수가 학교에 갔고서 영희가 집에 왔다.
4997,원빈이 누가 교수이니?,원빈네가 누가 교수지?
4998,처벌은 무슨 처벌? 겁을 좀 주자는 거지 뭘 그래.,처벌은 무슨 처벌? 겁을 좀 주자는 거지 뭘.
4999,예전에는 철우랑 많이도 싸워 쌓는데 요즘은 둘도 없는 친구가 되었다.,예전에는 철우랑 많이도 싸워 쌌는데 요즘은 둘도 없는 친구가 되었다.
5000,철수는 한동안 눈을 붙였다.,철수는 한동안 눈을 붙였다.
5001,모레 철수가 오겠거나 내일 영희가 오겠다.,모레 철수가 오겠지만 내일 영희가 오겠다.
5002,눈은 오면 좋을 터인데.,눈이 오면 좋을 터인데.
5003,거기가 어디기를 산정하는 일은 내 능력 밖이기도 하다.,거기가 어디임을 산정하는 일은 내 능력 밖이기도 하다.
5004,할아버지에게 돈이 있으시다.,할아버지에게 돈이 있으시다.
5005,어머니가 아이를 만져 있다.,어머니가 아이를 만지고 있다.
5006,어머니께서 방을 성실하시게 청소하셨다.,어머니께서 방을 성실하게 청소하셨다.
5007,나는 집에 밥을 먹었고 갔다.,나는 집에 밥을 먹고 갔다.
5008,너는 그렇게 기억하고 있다.,돌이는 그렇게 기억하고 있다.
5009,해고자들은 조바심을 이기지 못하고 노조로 뻔질나게 휴대폰을 눌러댔다.,해고자들은 조바심을 이기지 못하고 노조로 뻔질나게 휴대폰을 눌러댔다.
5010,저 커피가 마셨는가 싶다.,저 커피를 마셨는가 싶다.
5011,민호가 집에서를 나갔어요.,민호가 집을 나갔어요.
5012,어머요! 김 선생님 아니세요.,어머! 김 선생님 아니세요.
5013,영희는 철수 천재라고 생각해.,영희는 철수를 천재라고 생각해.
5014,물을 가져 드렸다.,물을 가져 드렸다.
5015,철수가 동생이 구두를 신겼어요.,철수가 동생을 구두를 신겼어요.
5016,너는 그렇게 생각하고 있다.,돌이는 그렇게 생각하고 있다.
5017,의사가 우리 집으로의 환자 진료를 왔다.,의사가 우리 집으로 환자 진료를 왔다.
5018,영희에게 자기가 꾼 꿈이 무서웠다. ,영희는 자기가 꾼 꿈이 무서웠다. 
5019,어머니께서 요리하셨던 것을 좋아하신다.,어머니께서 요리하시는 것을 좋아하신다.
5020,철수가 반장을 아이들을 통솔했다.,철수가 반장으로서 아이들을 통솔했다.
5021,편지가 아직 가지가 않았다.,편지가 아직 가지를 않았다.
5022,나무가 철수에 의해 가지를 꺾어졌다.,나무가 철수에 의해 가지가 꺾어졌다.
5023,교수님께서 철수를 만난 것이 카페에서였다.,교수님께서 철수를 만난 것은 카페에서였다.
5024,창문을 열더니 춥다.,창문을 여니 춥다.
5025,철수가 영희에게 동생에게 책을 주었다.,철수가 영희에게는 동생에게 책을 주었다.
5026,철수가 그 책을 나를 보냈다.,철수가 그 책을 나에게 보냈다.
5027,내일 철수가 오겠거나 지금 영희가 온다.,내일 철수가 오겠고 지금 영희가 온다.
5028,김 기자에게 배우들이 단단히 두 명 발목을 잡혔다.,김 기자에게 배우들이 두 명 발목을 단단히 잡혔다.
5029,양생원으로 들어설는지 걸음을 그리로 옮깁디다.,양생원으로 들어서려고 하는지 걸음을 그리로 옮깁디다.
5030,철수는 전당포에 시계가 잡히고 싶었다.,철수는 전당포에 시계를 잡히고 싶었다.
5031,나는 철수 쓴 논문을 읽어 보았어.,나는 철수가 쓴 논문을 읽어 보았어.
5032,철수가 영희의 손 완강하게 잡았어.,철수가 영희의 손을 완강하게 잡았어.
5033,학생 사흘 전에 한 명 왔다.,학생이 사흘 전에 한 명 왔다.
5034,철수가 영희를 행복하다고 말했다.,철수가 영희가 행복하다고 말했다.
5035,영희보다 소연이 훨씬 더 예뻐.,영희보다 소연이가 훨씬 더 예뻐.
5036,철수도 아들이 부모님께 효도해야 했다.,철수도 아들로서 부모님께 효도해야 했다.
5037,승훈이는 그 비밀을 알고 있다.,승훈이는 그 비밀을 알고 있다.
5038,커피가 내가 마시고 싶다.,내가 커피가 마시고 싶다.
5039,어제 한숨을 못 잤더니 정말 컨디션이 말이 아니네.,어제 한숨을 못 잤더니 정말 컨디션이 말이 아니네.
5040,할아버지는 제가 좋아하십니다.,할아버지는 제가 좋아합니다.
5041,주민들의 일치한 의견이 그렇다.,주민들의 일치된 의견이 그렇다.
5042,철수에게 손이 잡혀라.,철수에게 손을 잡혀라.
5043,비가 뚝뚝 그쳤다.,비가 뚝 그쳤다.
5044,나는 어제 무척 바빴겠다.,그는 어제 무척 바빴겠다.
5045,그녀 한 명이서 이 모든 일을 할 수 없다.,그녀 혼자서 이 모든 일을 할 수 없다.
5046,"그가 학교에 갔더니, 그때 그곳에는 아무도 없더라고 했지?","그가 학교에 갔더니, 그때 그곳에는 아무도 없더라고 했지?"
5047,아마도 네 생각이 틀리네.,확실히 네 생각이 틀리네.
5048,"그가 지난여름에 그 집을 팔면, 더 많은 돈을 벌 거였어.","그가 지난여름에 그 집을 팔면, 더 많은 돈을 벌 거였어."
5049,"선생님, 절 위해 이쪽으로 뛰어오셔 줄래요?","선생님, 절 위해 이쪽으로 뛰어와 주실래요?"
5050,너는 오늘 만난 남자에게 무척 호감이 가더라.,나는 오늘 만난 남자에게 무척 호감이 가더라.
5051,쥐가 고양이에게로 먹힌다.,쥐가 고양이에게 먹힌다.
5052,일해라! 그래서 돈을 벌어라!,일해라! 그래서 돈을 벌어라!
5053,철수가 언제나 한 번 바쁘다.,철수가 언제나 항상 바쁘다.
5054,그는 내일 갔다.,그는 지금 갔다.
5055,내가 차고에 시카고에서 내 차를 둔다.,내가 시카고에서 차고에 내 차를 둔다.
5056,철수가 방에 들어서자마자 민호를 체포했다. ,철수가 민호를 방에 들어서자마자 체포했다.
5057,철수와 함께 일하는 사람이 칭찬했다. ,함께 일하는 사람이 철수를 칭찬했다.
5058,철수가 보고 몹시 싶다.,철수가 몹시 보고 싶다.
5059,영호가 철수에게 공부를 한다고 제안했다.,영호가 철수에게 공부를 하자고 제안했다.
5060,철수가 누구는 사랑하느냐?,철수가 누구를 사랑하느냐?
5061,기분이 좀 좋지 않아서 밖에 좀 나갔다 오겠습니다.,기분이 좀 좋지 않으니 밖에 좀 나갔다 오겠습니다.
5062,철수가 홍배가 돌아왔느냐고 말했다.,철수가 홍배가 돌아왔다고 말했다.
5063,그 새가 수풀 속에 그의 둥지에 날리어 갔다.,그 새가 수풀 속의 그의 둥지에 날리어 갔다.
5064,여긴 여름에 시원하니 모두들 옵니다.,여긴 여름에 시원하니 모두들 옵니다.
5065,나는 그 사람이 언어학을 조금도 안다고 생각하지 않는다.,나는 그 사람이 언어학을 안다고 조금도 생각하지 않는다.
5066,나는 철수가 다섯 시간밖에는 공부했다는 것을 생각하지 않았다.,나는 철수가 다섯 시간밖에는 공부했다고 생각하지 않았다.
5067,"빨리, 철수는 뛰어간다.",철수는 빨리 뛰어간다.
5068,좀 시장해서 아무것도 좋습니다.,좀 시장하니 아무것도 좋습니다.
5069,비가 오기를 한다.,비가 오기를 한다.
5070,철수가 영희를 울리도 았다.,철수가 영희를 울리기도 했다.
5071,내가 철수에게로 책을 주었다.,내가 철수에게 그 책을 주었다.
5072,비가 오지는 안 온다.,비가 안 오지는 않는다.
5073,철수가 대학에 합격한 것이 기쁘게 했다.,대학에 합격한 것이 철수를 기쁘게 했다.
5074,부상당한 순경이 겨우 아니 살아났다.,부상당한 순경이 겨우 살아나지 아니했다.
5075,일곱 시라서 이제 다들 곧 오시겠지요.,일곱 시니 이제 다들 곧 오시겠지요.
5076,전 좀 피곤해서 먼저 가도 괜찮아요.,전 좀 피곤하니 먼저 갈까 하는데요.
5077,그는 학생 시절에 우등생이었지는 않다.,그는 학생 시절에 우등생이었지는 않다.
5078,철수까지 미자를 안 좋아한다.,철수까지 미자를 좋아한다.
5079,마누라를 두들기었는지가 십삼 년이 된다.,마누라를 두들긴 지가 십삽 년이 된다.
5080,내가 영호에게 네가 가라고 명령했다.,내가 철수에게 가라고 명령했다.
5081,내가 자기를 속였다.,지훈이 자기를 속였다.
5082,오늘은 8·15니 휴강입니다.,오늘은 8·15라서 휴강입니다.
5083,마침내 방에 들어섰고 민호를 철수가 즉시 체포했다. ,마침내 방에 들어섰고 민호를 철수가 즉시 체포했다. 
5084,너는 공부하고서 자자!,너는 공부하고서 잤냐?
